case,ebno_db,rep,eval_seed,transport_blocks,trained_block_errors,ls_block_errors,trained_only_errors,ls_only_errors,both_errors,both_correct,trained_minus_ls_batch_tbler
confirmation_umi_12prb_cell211,10.0,47,2036101548,256,1,0,1,0,0,255,0.00390625
confirmation_umi_12prb_cell211,10.0,48,2036101549,256,2,1,1,0,1,254,0.00390625
confirmation_umi_12prb_cell211,10.0,49,2036101550,256,1,1,0,0,1,255,0.0
confirmation_umi_12prb_cell211,10.0,50,2036101551,256,0,0,0,0,0,256,0.0
confirmation_umi_12prb_cell211,10.0,51,2036101552,256,1,2,0,1,1,254,-0.00390625
confirmation_umi_12prb_cell211,10.0,52,2036101553,256,0,0,0,0,0,256,0.0
confirmation_umi_12prb_cell211,10.0,53,2036101554,256,2,2,0,0,2,254,0.0
confirmation_umi_12prb_cell211,10.0,54,2036101555,256,1,1,0,0,1,255,0.0
confirmation_umi_12prb_cell211,10.0,55,2036101556,256,0,0,0,0,0,256,0.0
confirmation_umi_12prb_cell211,10.0,56,2036101557,256,0,0,0,0,0,256,0.0
confirmation_umi_12prb_cell211,10.0,57,2036101558,256,1,1,0,0,1,255,0.0
confirmation_umi_12prb_cell211,10.0,58,2036101559,256,6,6,0,0,6,250,0.0
confirmation_umi_12prb_cell211,10.0,59,2036101560,256,0,0,0,0,0,256,0.0
confirmation_umi_12prb_cell211,10.0,60,2036101561,256,0,0,0,0,0,256,0.0
confirmation_umi_12prb_cell211,10.0,61,2036101562,256,0,0,0,0,0,256,0.0
confirmation_umi_12prb_cell211,10.0,62,2036101563,256,0,1,0,1,0,255,-0.00390625
confirmation_umi_12prb_cell211,10.0,63,2036101564,256,4,4,0,0,4,252,0.0
confirmation_umi_12prb_cell211,14.0,0,2036111501,256,2,2,0,0,2,254,0.0
confirmation_umi_12prb_cell211,14.0,1,2036111502,256,0,1,0,1,0,255,-0.00390625
confirmation_umi_12prb_cell211,14.0,2,2036111503,256,0,0,0,0,0,256,0.0
confirmation_umi_12prb_cell211,14.0,3,2036111504,256,0,0,0,0,0,256,0.0
confirmation_umi_12prb_cell211,14.0,4,2036111505,256,1,1,0,0,1,255,0.0
confirmation_umi_12prb_cell211,14.0,5,2036111506,256,4,4,0,0,4,252,0.0
confirmation_umi_12prb_cell211,14.0,6,2036111507,256,0,0,0,0,0,256,0.0
confirmation_umi_12prb_cell211,14.0,7,2036111508,256,0,0,0,0,0,256,0.0
confirmation_umi_12prb_cell211,14.0,8,2036111509,256,0,0,0,0,0,256,0.0
confirmation_umi_12prb_cell211,14.0,9,2036111510,256,0,0,0,0,0,256,0.0
confirmation_umi_12prb_cell211,14.0,10,2036111511,256,1,1,0,0,1,255,0.0
confirmation_umi_12prb_cell211,14.0,11,2036111512,256,0,0,0,0,0,256,0.0
confirmation_umi_12prb_cell211,14.0,12,2036111513,256,0,0,0,0,0,256,0.0
confirmation_umi_12prb_cell211,14.0,13,2036111514,256,3,4,0,1,3,252,-0.00390625
confirmation_umi_12prb_cell211,14.0,14,2036111515,256,0,0,0,0,0,256,0.0
confirmation_umi_12prb_cell211,14.0,15,2036111516,256,0,1,0,1,0,255,-0.00390625
